2112783333,17450
3512778152,4683
768614488,6680
3357531145,8391
952740680,9860
2607734016,7405
2971618486,160
2763828421,700
145066452,9389
2772904204,3849
1624451163,7216
977219871,1143
4014527488,1136
3826925209,727
2109745076,375
21411116,4103
3393139207,8585
191988059,13493
939187257,6298
23974342,2400
2581165164,6485
4216381196,3807
1444116171,949
4213777992,11308
3832558522,10397
3634568705,9585
2089520990,3949
3731347765,10051
933918199,2558
2622629246,2036
3660436729,7784
987714722,700
1453951252,4015
203179330,3863
1202186444,2642
3868650669,6015
882224549,5294
1492618999,1562
1764555668,2691
978199959,16467
1995439567,1342
1074012498,2767
1733871810,3437
3568071483,632
3204867786,827
1445725893,2632
3644127905,248
1349952704,4529
2740513118,169
1187047014,2294
2867862893,4035
3058349224,6003
1819614445,5338
3766687108,348
538973511,1212
3312155492,1738
3937099042,80
262014756,918
2695612204,939
3422307046,1788
871918012,3162
1843983058,630
520502433,338
725246475,1153
445393127,257
4004459844,1549
3530026883,238
2785481450,449
3582837041,182
414504421,3563
2479769240,581
3368710515,706
2062453775,2574
2058471044,3050
717087809,2368
2023243218,3191
3297668579,1419
1318768049,1253
3666873672,54
1021750734,188
2950281295,206
702879532,2509
3911555911,61
2340935093,852
311329807,1193
2972151985,6990
2111253335,2256
4024575461,850
1337095613,577
4274916701,727
2261794886,3090
2283484211,256
1533971406,919
1616333941,1843
3994583605,97
2319607664,178
1053310795,995
1436079941,6368
274724948,778
3393553029,556
636006542,3036
3063057650,2144
1240926632,392
1603947246,437
2195140919,553
1572039516,408
3838336193,527
3902990498,807
169107381,1007
3818236473,13
1984005562,206
1028846854,1094
2837075743,14
2304158190,591
1013141997,880
1992536731,912
2243622190,529
2205697462,178
3305993129,350
3259858499,38
3563554394,352
103690397,960
2362837710,1028
3838408206,32
398946327,17
2835177137,53
3717073470,249
361719585,178
1211895506,4
365289026,253
963383904,117
2292353493,55
3049669213,171
235279799,28
4278677819,32
2502232785,44
1913915728,43
2098425635,34
982994304,52
3096695369,57
2511819209,64
4287965731,29
